TestId , Instruction , Status , Author , Message
142-lhu_GETC , lhu , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
143-lhu_instr-mem , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
144-lh_unaligned , lh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
145-lhu_OOB-2 , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
146-lhu_OOB , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
147-lhu_simple+2 , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
148-lhu_simple-neg , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
149-lhu_simple-pos , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
150-lhu_unaligned , lhu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
151-lw_ADDR-2352 , lw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
152-lw_ADDR-4 , lw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
153-lw_ADDR , lw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
154-lw_GETC-4 , lw , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
155-lw_GETC+4 , lw , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
156-lw_GETC , lw , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
157-lw_instr-mem , lw , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
158-lwl_ADDR-1 , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
159-lwl_ADDR , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
160-lwl_GETC-1 , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
161-lwl_GETC+1 , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
162-lwl_GETC+2 , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
163-lwl_GETC+3 , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
164-lwl_GETC+4 , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
165-lwl_GETC , lwl , Fail , tomperkins99 , Simulator output:  none    Simulator exit code:  244
166-lwl_instr-mem , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
167-lwl-lwr_simple , lwl-lwr , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
168-lwl_OOB-1 , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
169-lwl_OOB , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
170-lwl_simple+0 , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
171-lwl_simple+1 , lwl , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
